,Portfolio Manager Meter ID,Usage/Quantity,Cost ($),
0,31548254,58233,3661.37,
1,31548254,282323,17949.02,
2,31548254,405601,23876.63,
3,31548254,387746,21179.26,
4,31548254,769449,38578.81,
5,31548254,109448,7305.06,
6,31548254,79997,4709.21,
7,31548254,295623,23907.27,
8,31548254,345094,19442.98,
9,31548254,433231,23955.68,
10,31548254,970260,62157.9,
11,31548254,199158,16536.32,
12,31548254,380602,54270.43,
13,31548254,528283,58136.17,
14,31548254,544528,49559.85,
15,31548254,794620,42214.71,
16,31548254,299902,16811.03,
17,31548254,95141,9588.39,
18,31548254,358548,30724.91,
19,31548254,214225,12900.8,
20,31548254,82480,5278.65,
21,31548254,384913,27104.15,
22,31548254,1116345,69905.52,
23,31548254,157495,19703.75,
24,31548254,417574,45482.16,
25,31548254,268993,20523.07,
26,31548254,944186,57897.23,
27,31548254,368945,19840.84,
28,31548254,537407,28729.68,
29,31548254,62353,2953.12,
30,31548254,551000,29049.99,
31,31548254,68599,2659.04,
32,31548254,118915,5566.9,
33,31548254,167247,5932.46,
34,31548254,1584146,75376.04,
35,31548254,333170,16933.41,
36,31548254,492453,41444.41,
37,31548254,386953,22562.73,
38,31548254,637070,36741.18,
39,31548254,460405,22247.61,
40,31548254,410422,23089.23,
41,31548254,951884,46780.59,
42,31548254,148969,6784.28,
43,31548254,189692,27694.48,
44,31548254,53767,2799.45,
45,31548254,222888,11848.07,
46,31548254,1108181,59754.39,
47,31548254,1081470,67621.03,
48,31548254,478902,43550.59,
49,31548254,326932,18939.58,
50,31548254,591944,37526.55,
51,31548254,371475,18783.54,
52,31548254,218128,10436.04,
53,31548254,168915,9638.21,
54,31548254,463828,143905.38,
55,31548254,491231,59294.71,
56,31548254,60755,5146.69,
57,31548254,1568672,88245.94,
58,31548254,1320681,67315.91,
59,31548254,1679543,82618.92,
60,31548254,470744,27595,
61,31548254,256023,13593,
62,31548254,663311,38508,
63,31548254,2218037,107684,
64,31548254,397659,19824,
65,31548254,108134,6289,
66,31548254,66896,4302,
67,31548254,432091,60478,
68,31548254,240500,19486,
69,31548254,399363,18878,
70,31548254,1000086,44566,
71,31548254,872315,27494,
72,31548254,597586,Not Available,
73,31548254,925821,129202.42,
74,31548254,3208249,Not Available,
75,31548254,787823,90289.98,
76,31548254,2851832,Not Available,
77,31548254,1009260,119040.23,
78,31548254,1447797,186143.75,
79,31548254,344638,59598.24,
80,31548254,1114284,102124.86,
81,31548254,2880371,186579.92,
82,31548254,3657128,222306.24,
83,31548254,1545370,132390.8,
84,31548254,301793,62263.29,
85,31548254,1329469,107692.11,
86,31548254,872186,97338.55,
87,31548254,521674,95640.11,
88,31548254,493327,82991.46,
89,31548254,1152599,134512.32,
90,31548254,614019,85841.24,
91,31548254,443815,77266.45,
92,31548254,244024,66263.79,
93,31548254,227562,103476.66,
94,31548254,327543,69682.19,
95,31548254,1395352,116430.18,
96,31548254,2701256,147823.35,
97,31548254,1636270,86438.8,
98,31548254,1087859,110666.48,
99,31548254,614833,83910.76,
100,31548254,760546,98016.19,
101,31548254,1898321,156469.06,
102,31548254,3427636,206774.03,
103,31548254,1807202,133424.01,
104,31548254,116506,57730.87,
105,31548254,9454,66858.54,
106,31548254,278158,85078.82,
107,31548254,162008,77767.29,
108,31548254,438928,84594.32,
109,31548254,1774635,118147.01,
110,31548254,770479,118522.84,
111,31548254,1483767,162321.68,
112,31548254,597586,113556.16,
113,31548254,710774,124349.42,
114,31548254,964363,107210.06,
115,31548254,602619,92454.82,
116,31548254,439271,60895.71,
117,31548254,2029,39773.49,
118,31548254,213665,66236.2,
119,31548254,127944,74402.19,
120,31548254,77848,72395.8,
121,31548254,1428436,121684.22,
122,31548254,2319373,153816.13,
123,31548254,3328946,229797.28,
124,31548254,4396280,304366.4,
125,31548254,3614224,246317.7,
126,31548254,2413814,218453.3,
127,31548254,0,0,
128,31548254,244508,87195.45,
129,31548254,512438,102275.08,
130,31548254,289243,138157.3,
131,49324439,140,63.87,
132,49324439,14,50.32,
133,49324439,4,51.94,
134,49324439,91,62.83,
135,49324439,87,62.72,
136,49324439,197,77.61,
137,49324439,396,134.48,
138,49324439,437,143,
139,49324439,302,162.34,
140,49324439,130,63.96,
141,49324439,105,255.75,
142,49324439,14,49.82,
143,49324439,19,50.07,
144,49324439,370,117.06,
145,49324439,183,122.12,
146,49324439,295,100.82,
147,49324439,274,96.64,
148,49324439,192,64.17,
149,49324439,81,54.43,
150,49324439,58,56.08,
151,49324439,46,44.14,
152,49324439,44,44.74,
153,49324439,30,80.53,
154,49324439,19,39.2,
155,49324439,518,137.64,
156,49324439,94,47.25,
157,49324439,321,92.44,
158,49324439,268,81.35,
159,49324439,218,70.1,
160,49324439,52,46.99,
161,49324439,27,39.42,
162,49324439,5,84.45,
163,49324439,68,49.47,
164,49324439,18,44.8,
165,49324439,518,154.08,
166,49324439,107,71.77,
167,49324439,291,106.9,
168,49324439,287,105.79,
169,49324439,200,69.15,
170,49324439,183,66.62,
171,49324439,145,64.01,
172,49324439,108,60.03,
173,49327760,86,23.25,
174,49327760,217,36.79,
175,49327760,148,28.1,
176,49327760,316,49.48,
177,49327760,162,30.52,
178,49327760,25,13.54,
179,49327760,20,10.99,
180,49327760,205,50.6,
181,49327760,184,43.76,
182,49327760,72,21.08,
183,49327760,476,55.86,
184,49327760,42,11.57,
185,49327760,149,26.1,
186,49327760,87,32.52,
187,49327760,1,14.85,
188,49327760,158,33.83,
189,49327760,211,39.37,
190,49327760,115,30.02,
191,49327760,19,24.27,
192,49327760,79,36.1,
193,49327760,23,24.43,
194,49327760,54,30.95,
195,49327760,139,35.12,
196,49327760,22,24.09,
197,49327760,2,23.15,
198,49327760,90,42.1,
199,49327760,240,43.67,
200,49327760,12,16.71,
201,49327760,75,24.42,
202,49327760,3,21.38,
203,49327760,0,10.33,
204,49327760,18,14.17,
205,49327760,141,25.32,
206,49327760,75,18.38,
207,49327760,265,39.29,
208,49327760,41,11.91,
209,49327760,108,20.18,
210,49327760,6,8.2,
211,49327760,24,9.92,
212,49327760,9,8.15,
213,49327760,1,5.6,
214,49327760,380,83.65,
215,49327760,486,102.37,
216,49327760,19,9.38,
217,49327760,26,8.26,
218,49327760,297,33.84,
219,49327760,16,9.87,
220,49327760,103,37.43,
221,49324969,872,133.98,
222,49324969,751,128.26,
223,49324969,714,123.68,
224,49324969,662,123.14,
225,49324969,564,116.33,
226,49324969,506,114.1,
227,49324969,491,108.56,
228,49324969,493,108.72,
229,49324969,525,107.69,
230,49324969,664,117.5,
231,49324969,668,114.69,
232,49324969,784,133.06,
233,49324969,872,147.8,
234,49324969,751,135.39,
235,49324969,757,136.8,
236,49324969,638,123.07,
237,49324969,545,110.91,
238,49324969,538,114.14,
239,49324969,459,101.19,
240,49324969,493,102.45,
241,49324969,525,102.42,
242,49324969,664,108.79,
243,49324969,668,109.26,
244,49324969,837,122.37,
245,49324969,819,127.77,
246,49324969,751,124.21,
247,49324969,757,132.56,
248,49324969,619,117.14,
249,49324969,564,117.15,
250,49324969,538,117.26,
251,49324969,459,106.88,
252,49324969,493,109.74,
253,49324969,587,111.89,
254,49324969,602,111.05,
255,49324969,668,119.29,
256,49324969,837,128.4,
257,49324969,819,131.72,
258,49324969,799,135.61,
259,49324969,711,130.9,
260,49324969,621,128.02,
261,49324969,600,120.88,
262,49324969,505,110.68,
263,49324969,459,105.29,
264,49324969,528,111.84,
265,49324969,528,107.96,
266,49324969,620,111.81,
267,49324969,90.71,114.81,
268,49324969,834,121.22,
269,49324969,872,135.64,
270,49324969,749,131.34,
271,49325200,0,4.25,
272,49325200,0,4.25,
273,49325200,6,4.72,
274,49325200,0,4.25,
275,49325200,0,4.25,
276,49325200,0,4.25,
277,49325200,0,4.25,
278,49325200,0,4.25,
279,49325200,0,4.25,
280,49325200,0,4.25,
281,49325200,0,4.25,
282,49325200,0,4.25,
283,49325200,0,4.25,
284,49325200,0,4.24,
285,49325200,0,4.24,
286,49325200,0,4.24,
287,49325200,0,4.24,
288,49325200,0,4.24,
289,49325200,0,4.24,
290,49325200,0,4.24,
291,49325200,0,4.24,
292,49325200,0,4.24,
293,49325200,0,4.24,
294,49325200,0,4.74,
295,49325200,0,4.73,
296,49325200,0,4.74,
297,49325200,0,4.74,
298,49325200,0,4.74,
299,49325200,0,4.74,
300,49325200,0,4.73,
301,49325200,0,4.74,
302,49325200,0,4.74,
303,49325200,0,4.74,
304,49325200,0,4.73,
305,49325200,0,4.79,
306,49325200,0,4.79,
307,49325200,0,4.78,
308,49325200,0,4.79,
309,49325200,0,4.79,
310,49325200,0,4.79,
311,49325200,0,4.79,
312,49325200,0,4.78,
313,49325200,0,4.79,
314,49325200,0,4.79,
315,49325200,0,4.79,
316,49325200,0,4.79,
317,49325200,0,4.79,
318,49325200,0,4.79,
319,49325200,0,4.78,
320,49325200,0,4.79,
321,97503345,920,1133.02,
322,97503345,360,626.56,
323,97503345,0,0,
324,97503345,400,996.04,
325,97503345,360,990.59,
326,97503345,360,989.59,
327,97503345,360,634.84,
328,97503345,400,635.8,
329,97503345,400,632.8,
330,97503345,360,671.56,
331,92050612,10884679.2,Not Available,
332,92050612,9707757.57,Not Available,
333,92050612,10849477.6,Not Available,
334,92050612,11652614.63,Not Available,
335,92050612,11326021.4,Not Available,
336,92050612,8028565.66,Not Available,
337,92050612,10096783.58,Not Available,
338,92050612,10302134.8,Not Available,
339,92050612,11608367.82,Not Available,
340,92050612,11214783.38,Not Available,
341,92050612,9890572.53,Not Available,
342,92050612,10999690.9,Not Available,
343,92050612,10884679.2,Not Available,
344,92050612,10978918.64,Not Available,
345,92050612,11172856.72,Not Available,
346,49326153,7501,Not Available,
347,49326153,7500,Not Available,
348,49326153,4510.3,Not Available,
349,49326153,8115,Not Available,
350,49326153,7521,Not Available,
351,49326153,5540,Not Available,
352,49326153,191.9,340.28,
353,49326153,474.3,841.03,
354,49326153,74,131.22,
355,49326153,55.8,98.94,
356,49326153,7517,16709.54,
357,49326153,7542,16757.57,
358,49326153,4070.5,9048.31,
359,49326153,3968.3,8821.13,
360,49326153,7505,16829.96,
361,49326153,7504,16827.72,
362,49326153,7539,16766.74,
363,49326153,7504,16688.9,
364,49326153,7505,16998.83,
365,49326153,3898.7,8861.75,
366,49326153,7505,16998.83,
367,49326153,7505,16998.83,
368,49326153,7505,16857.73,
369,49326153,7505,16813.45,
370,49326153,281.2,645.69,
371,49326153,170.8,392.19,
372,49326153,97.5,268.07,
373,49326153,70.7,194.38,
374,49326153,7505,17924.19,
375,49326153,141.7,370.02,
376,49326153,82.6,215.69,
377,49326153,193.4,505.03,
378,49326153,7506,15030.01,
379,49326153,7506,15264.2,
380,49326153,7505,15262.17,
381,49326153,7507,15266.24,
382,49326153,7396,15040.51,
383,49326153,7506,15149.36,
384,49326153,6491.7,13102.2,
385,49326153,7506,15149.36,
386,49326153,7508,14965.7,
387,49326153,7506,14961.71,
388,31548250,11668.61,8588.98,
389,31548250,45471.29,29419.21,
390,31548250,6168.88,4032.89,
391,31548250,1417.45,1451.43,
392,31548250,22009.46,16960.58,
393,31548250,29273.49,23099.12,
394,31548250,45786.72,42721.07,
395,31548250,52135.16,45379,
396,31548250,1288.96,1527.82,
397,31548250,5413.35,4276.2,
398,31548250,35251.45,27073.8,
399,31548250,17728.44,13655.86,
400,31548250,58012.87,47529.31,
401,31548250,64357,53281.8,
402,31548250,29966.95,21283.82,
403,31548250,40792.21,29649.99,
404,31548250,1829.57,1720.98,
405,31548250,53721.84,42305.83,
406,31548250,92408.51,72318.89,
407,31548250,49664.08,39662.11,
408,31548250,14002.84,10708.99,
409,31548250,10241.49,8073.43,
410,31548250,65067.2,49619.82,
411,31548250,16629.65,12950.18,
412,31548250,25051.79,19362.91,
413,31548250,14503.67,11487.61,
414,31548250,27208,19536.94,
415,31548250,22003.31,15654.69,
416,31548250,15121.6,10722.39,
417,31548250,2596.12,2263.29,
418,31548250,86199.84,57307.68,
419,31548250,6782,4561.62,
420,31548250,1939.39,1618.65,
421,31548250,1662.34,1418.81,
422,31548250,76755.94,41045.76,
423,31548250,16641.93,10032.78,
424,31548250,16309,10473.45,
425,31548250,50323.44,32567.79,
426,31548250,34990.43,21325.43,
427,31548250,45918.78,29819.87,
428,31548250,14955.16,10773.03,
429,31548250,79079.75,55434.45,
430,31548250,166119.55,108503.86,
431,31548250,84230.55,55842.4,
432,31548250,46463.34,31592.69,
433,31548250,8897.35,6856.87,
434,31548250,26005.19,19522.43,
435,31548250,120392,88780.91,
436,31548250,120585.06,82991.35,
437,31548250,161677.48,104854.62,
438,31548250,167524.88,110645.88,
439,31548250,95543.66,62030.62,
440,31548250,90444.96,58206.98,
441,31548250,135330.35,91513.95,
442,31548250,125583.33,96351.61,
443,31548250,150136.45,133376.91,
444,31548250,96244.73,78392.78,
445,31548250,119610.32,90612.3,
446,31548250,104511.09,81611,
447,31548250,118867.35,89627.5,
448,31548250,14180,10836,
449,31548250,20028,13811,
450,31548250,39542,27384,
451,31548250,95456,66040,
452,31548250,108002,73989,
453,31548250,50537,38184,
454,31548250,117502,75876,
455,31548250,81052,49688,
456,31548250,81975,48302,
457,31548250,16711,9544,
458,31548250,130284,69852,
459,31548250,108236,60417,
460,31548250,1121555.2,Not Available,
461,31548250,81285.74,50891.62,
462,31548250,89108.53,56964.66,
463,31548250,66105.76,41072.19,
464,31548250,205579.62,136857.21,
465,31548250,332327.15,199905.41,
466,31548250,270702.77,182991.49,
467,31548250,228282.96,135675.27,
468,31548250,52526.29,34706.11,
469,31548250,86650.4,55730.75,
470,31548250,70815.06,46813.57,
471,31548250,95724.43,61423.96,
472,31548250,111309.96,70186.02,
473,31548250,154562.96,92278.66,
474,31548250,83294.19,52484.51,
475,31548250,80742.14,49803.47,
476,31548250,99718.19,65537.29,
477,31548250,95568.58,58732.97,
478,31548250,78824.58,56206.68,
479,31548250,194525.81,116813.22,
480,31548250,186627.43,112337.17,
481,31548250,140527,86716.18,
482,31548250,125254.15,78089.14,
483,31548250,102728.42,65500.28,
484,31548250,80252.84,49776.07,
485,31548250,188003.49,117335.05,
486,31548250,308846.52,200406.24,
487,31548250,110245.05,74442.05,
488,31548250,73917.81,62967.81,
489,31548250,82491.39,60529.69,
490,31548250,96503.31,63383.52,
491,31548250,64224.04,41403.58,
492,31548250,7477.25,5386.94,
493,31548250,47117.19,29293.55,
494,31548250,58922.65,36878.53,
495,31548250,84591.74,49215.85,
496,31548250,123225.98,69346.55,
497,31548250,99130.31,57578.82,
498,31548250,83474.44,50727.04,
499,31548250,58866.69,37201.76,
500,31548250,107135.01,66144.66,
501,31548250,92537.8,54153.93,
502,31548250,87034.37,48247.07,
503,31548250,37818.09,21370.96,
504,31548250,94162.07,50047.36,
505,31548250,50326.31,27768.48,
506,31548250,122420.13,65093.91,
507,31548250,118080.14,59683.61,
508,31548250,205443.3,111784.91,
509,31548250,206467.02,128184.13,
510,31548250,55478.31,31917.03,
511,31548250,80650.79,53720.89,
512,31548250,206047.99,135051.99,
513,31548250,227227.82,138641.63,
514,49325021,176.84,175.67,
515,49325021,193.1,206.98,
516,49325021,316.49,318.19,
517,49325021,250.01,234.16,
518,49325021,261.56,240.3,
519,49325021,152.46,143.62,
520,49325021,53.37,59.05,
521,49325021,54.31,59.01,
522,49325021,1108.09,953.09,
523,49325021,310.18,288.26,
524,49325021,233.35,210.13,
525,49325021,255.82,242.96,
526,49325021,232.08,226.9,
527,49325021,155.47,149.99,
528,49325021,334.37,344.84,
529,49325021,219.55,207.08,
530,49325021,271.28,234.19,
531,49325021,130.13,120.35,
532,49325021,49.18,53.29,
533,49325021,52.12,56.29,
534,49325021,129.25,119.53,
535,49325021,207.19,186.17,
536,49325021,261.6,234.88,
537,49325021,298.98,284.26,
538,49325021,200.06,221.56,
539,49325021,155.62,162.91,
540,49325021,327.01,312.66,
541,49325021,226.28,214.97,
542,49325021,265.23,230.27,
543,49325021,170.01,150.87,
544,49325021,34.5,43,
545,49325021,17.74,28.96,
546,49325021,136.68,117.68,
547,49325021,133.68,117.69,
548,49325021,220.37,202.4,
549,49325021,267.1,247.92,
550,49325021,165.33,155.89,
551,49325021,125,115.74,
552,49325021,309.59,263.6,
553,49325021,141.68,125.27,
554,49325021,75.63,69.86,
555,49325021,62.85,61.44,
556,49325021,47.13,49.56,
557,49325021,20.91,116.72,
558,49325021,116.26,119.28,
559,49325117,4980.9,4173.23,
560,49325117,1905.79,1963.74,
561,49325117,3757.95,3323.36,
562,49325117,2788.96,2373.07,
563,49325117,3612.52,2440.73,
564,49325117,1844.28,1280.94,
565,49325117,1111.29,831.8,
566,49325117,1187.47,862.08,
567,49325117,1606.26,1111.27,
568,49325117,3446.47,2256.9,
569,49325117,3211.43,2102.8,
570,49325117,2935.61,2531.28,
571,49325117,2085.57,1970.09,
572,49325117,1828.84,1767.2,
573,49325117,3394.14,3054.45,
574,49325117,2420.25,2066.23,
575,49325117,3101.41,1959.88,
576,49325117,1369.52,945.3,
577,49325117,726.21,556.51,
578,49325117,1061.12,774.98,
579,49325117,1693.84,1142.33,
580,49325117,3243.87,2115.5,
581,49325117,3079.58,2049.9,
582,49325117,3255.36,2756.94,
583,49325117,2004.76,2149.57,
584,49325117,1842.17,1870.8,
585,49325117,2835.81,2403.37,
586,49325117,2498.59,2141.4,
587,49325117,3432.14,2149.68,
588,49325117,2168.15,1377.46,
589,49325117,1577.5,1042.36,
590,49325117,1564.02,976.44,
591,49325117,1061.64,1345,
592,49325117,1349.34,1084.94,
593,49325117,2019.57,1749.94,
594,49325117,1935.99,1630.71,
595,49325117,2480.89,1891.79,
596,49325117,2213.28,1473.22,
597,49325117,8042.29,4646.74,
598,49325117,217.86,250.6,
599,49325117,1580.56,899.8,
600,49325117,1743.72,940.55,
601,49325117,1572.36,925.51,
602,49325117,1540.91,1021.62,
603,49325117,1322.43,835.06,
604,49325117,2648.46,1842.48,
605,49325117,2162.93,1489.61,
606,49325117,1864.41,1235.47,
607,49325377,4.19,15.93,
608,49325377,20.99,32.71,
609,49325377,12.62,23.53,
610,49325377,0,12.39,
611,49325377,126.06,122.23,
612,49325377,12.62,23.25,
613,49325377,158.01,150.59,
614,49325377,10.44,21.35,
615,49325377,11.49,22.14,
616,49325377,9.4,20.43,
617,49325377,23.02,31.94,
618,49325377,4.19,15.97,
619,49325377,4.18,16.11,
620,49325377,8.4,20.17,
621,49325377,78.86,88.58,
622,49325377,1.05,13.77,
623,49325377,11.52,21.48,
624,49325377,11.54,21.63,
625,49325377,68.02,69.09,
626,49325377,0,12.03,
627,49325377,61.5,63.17,
628,49325377,20.93,29.62,
629,49325377,0,12.03,
630,49325377,10.45,23.66,
631,49325377,4.19,19.07,
632,49325377,8.41,23.08,
633,49325377,14.72,27.75,
634,49325377,12.63,25.83,
635,49325377,11.58,24.82,
636,49325377,12.59,19.06,
637,49325377,28.23,37.99,
638,49325377,22.95,32.93,
639,49325377,2.09,17.04,
640,49325377,12.53,25.07,
641,49325377,24.01,46.71,
642,49325377,0,5.82,
643,49325377,5.23,20.35,
644,49325377,1.05,16.96,
645,49325377,6.3,20.79,
646,49325377,14.69,26.91,
647,49325377,23.11,33.11,
648,49325377,11.52,24.49,
649,49325377,34.57,40.66,
650,49325377,19.86,30.11,
651,49325377,14.61,27.29,
652,49325377,40.77,49.23,
653,49325377,1.05,17.45,
654,49325377,0,16.7,
655,49325377,45,45,
656,49325377,1.05,18.07,
657,49440466,0,2.89,
658,49440466,0,12.39,
659,49440466,0,12.39,
660,49440466,0,12.44,
661,49440466,0,12.44,
662,49440466,0,12.44,
663,49440466,0,12.5,
664,49440466,0,13.04,
665,49440466,0,13.04,
666,49440466,0,12.9,
667,49440466,3.14,14.62,
668,49440466,0,12.03,
669,49440466,0,12.03,
670,49440466,0,12.03,
671,49440466,0,12.03,
672,49440466,0,12.03,
673,49440466,0,12.03,
674,49440466,0,14.93,
675,49440466,0,14.99,
676,49440466,0,15.46,
677,49440466,0,15.46,
678,49440466,0,15.46,
679,49440466,3.16,16.36,
680,49440466,0,15.46,
681,49440466,0,15.46,
682,49440466,0,15.46,
683,49440466,0,15.46,
684,49440466,0,15.47,
685,49440466,0,15.75,
686,49440466,0,15.79,
687,49440466,0,16.2,
688,49440466,0,16.2,
689,49440466,0,16.2,
690,49440466,0,16.2,
691,49440466,0,16.2,
692,49440466,0,16.2,
693,49440466,0,16.2,
694,49440466,0,16.46,
695,49440466,0,16.67,
696,49440466,0,16.67,
697,49440466,0,16.67,
698,49440466,0,16.68,
699,49440466,0,17.19,
700,49440466,0,17.19,
701,49450360,0,4.56,
702,49450360,0,12.44,
703,49450360,0,12.44,
704,49450360,0,12.5,
705,49450360,0,13.04,
706,49450360,0,13.04,
707,49450360,0,12.9,
708,49450360,0,12.03,
709,49450360,0,12.03,
710,49450360,0,12.03,
711,49450360,0,12.03,
712,49450360,0,12.03,
713,49450360,0,12.03,
714,49450360,0,12.03,
715,49450360,0,14.93,
716,49450360,0,14.99,
717,49450360,0,15.46,
718,49450360,0,15.46,
719,49450360,0,15.46,
720,49450360,0,15.46,
721,49450360,0,15.46,
722,49450360,0,15.46,
723,49450360,0,15.46,
724,49450360,0,15.46,
725,49450360,0,15.47,
726,49450360,0,15.75,
727,49450360,0,15.79,
728,49450360,0,16.2,
729,49450360,0,16.2,
730,49450360,0,16.2,
731,49450360,0,16.2,
732,49450360,0,16.2,
733,49450360,0,16.2,
734,49450360,0,16.2,
735,49450360,0,16.46,
736,49450360,0,16.67,
737,49450360,0,16.67,
738,49450360,0,16.67,
739,49450360,0,16.68,
740,49450360,0,17.19,
741,49450360,0,17.19,
742,49327857,554.64,544.28,
743,49327857,689.1,625.21,
744,49327857,263.92,251.92,
