PortfolioManagerMeterID,Cost,UsageAmount
31548254,3661.37,58233
49324439,17949.02,282323
49327760,23876.63,405601
49324969,21179.26,387746
49325200,38578.81,769449
97503345,7305.06,109448
92050612,4709.21,79997
49326153,23907.27,295623
31548250,19442.98,345094
49325021,23955.68,433231
49325117,62157.9,970260
49325377,16536.32,199158
49440466,54270.43,380602
49450360,58136.17,528283
49327857,49559.85,544528
31548252,42214.71,794620
31548249,16811.03,299902
31548251,9588.39,95141
49324175,30724.91,358548
49324216,12900.8,214225
49324348,5278.65,82480
49324390,27104.15,384913
81413017,69905.52,1116345
49324572,19703.75,157495
49324753,45482.16,417574